ID de Reseña,Nombre del Restaurante,Ubicación,Fecha de la Reseña,Calificación,Título de la Reseña,Contenido de la Reseña,Usuario,Fuente
1,Café Andino,Ambato,2025-01-04,5,No me gustó,La comida es deliciosa y el servicio excelente.,LuisCocinero,Yelp
2,Café Andino,Guayaquil,2024-10-10,1,Muy bueno,"Pésima experiencia, no volveré jamás.",DanielaTraveler,Google Reviews
3,Vegan Life,Machala,2024-10-19,5,Pésima experiencia,La comida es deliciosa y el servicio excelente.,AlejandraT,TripAdvisor
4,Mariscos del Pacífico,Ibarra,2024-03-11,1,No me gustó,Comida horrible y atención pésima.,LuisCocinero,Google Reviews
5,La Parrilla de Pepe,Loja,2024-05-18,2,Excelente,"No me gustó mucho, esperaba más.",JuanPerez123,Yelp
6,Café Andino,Quito,2024-06-02,2,Excelente,"No me gustó mucho, esperaba más.",AlejandraT,Google Reviews
7,La Parrilla de Pepe,Guayaquil,2024-11-06,4,Excelente,"Me gustó mucho, aunque hubo algo de demora.",PedroFan,Yelp
8,Asadero Don Pedro,Manta,2024-10-07,3,Excelente,"No estuvo mal, pero tampoco lo recomendaría especialmente.",PedroFan,Google Reviews
9,Asadero Don Pedro,Esmeraldas,2024-03-31,3,Muy bueno,"No estuvo mal, pero tampoco lo recomendaría especialmente.",PedroFan,Google Reviews
10,Vegan Life,Manta,2024-06-06,3,No me gustó,"La comida estaba bien, pero nada especial.",AlejandraT,Yelp
11,Café Andino,Loja,2024-11-04,2,Regular,"No me gustó mucho, esperaba más.",DanielaTraveler,TripAdvisor
12,Asadero Don Pedro,Guayaquil,2024-08-09,2,Muy bueno,"No lo recomendaría, pero tampoco fue terrible.",FoodieEcuador,Yelp
13,La Pizzería Italiana,Loja,2024-09-17,4,Excelente,Buen ambiente y platos de calidad.,DanielaTraveler,Google Reviews
14,Café Andino,Riobamba,2024-10-03,5,Excelente,"Increíble experiencia, todo estuvo perfecto.",JuanPerez123,Yelp
15,Comida Típica Quiteña,Manta,2024-09-01,3,No me gustó,"No estuvo mal, pero tampoco lo recomendaría especialmente.",LuisCocinero,Yelp
16,La Pizzería Italiana,Machala,2025-01-14,1,Excelente,"No lo recomiendo para nada, muy mala experiencia.",PedroFan,Yelp
17,Asadero Don Pedro,Ibarra,2024-03-11,1,Excelente,"No lo recomiendo para nada, muy mala experiencia.",AndresCoffeeLover,TripAdvisor
18,Sushi Express,Loja,2024-06-26,3,No me gustó,"No estuvo mal, pero tampoco lo recomendaría especialmente.",DanielaTraveler,Yelp
19,La Pizzería Italiana,Esmeraldas,2024-04-16,2,Muy bueno,"No lo recomendaría, pero tampoco fue terrible.",PabloEats,Yelp
20,Comida Típica Quiteña,Riobamba,2024-03-12,4,No me gustó,"Todo estuvo bien, pero podría mejorar un poco.",DanielaTraveler,Google Reviews
21,Café Andino,Machala,2024-06-03,2,Excelente,Servicio lento y comida regular.,JuanPerez123,Google Reviews
22,Restaurante El Sabor,Ambato,2024-07-21,2,Muy bueno,Servicio lento y comida regular.,AlejandraT,Google Reviews
23,Vegan Life,Quito,2024-08-09,2,Excelente,Servicio lento y comida regular.,AndresCoffeeLover,Google Reviews
24,La Parrilla de Pepe,Manta,2024-12-16,2,Pésima experiencia,La relación calidad-precio no es buena.,CarlaSeafoodFan,Yelp
25,Sushi Express,Ambato,2024-07-22,2,Muy bueno,"No me gustó mucho, esperaba más.",FoodieEcuador,Google Reviews
26,El Rincón Mexicano,Ibarra,2024-04-12,2,Regular,La relación calidad-precio no es buena.,JuanPerez123,Yelp
27,La Pizzería Italiana,Loja,2024-12-08,4,No me gustó,"Muy buena comida y servicio, aunque algo costoso.",CarlaSeafoodFan,Google Reviews
28,Café Andino,Ibarra,2024-11-16,2,Pésima experiencia,"No me gustó mucho, esperaba más.",JuanPerez123,Google Reviews
29,La Parrilla de Pepe,Manta,2024-05-08,3,Excelente,"La comida estaba bien, pero nada especial.",AlejandraT,TripAdvisor
30,El Rincón Mexicano,Guayaquil,2024-05-03,2,Pésima experiencia,"No lo recomendaría, pero tampoco fue terrible.",PabloEats,Google Reviews
31,Café Andino,Machala,2024-02-09,1,Regular,Esperaba mucho más y fue una decepción total.,JuanPerez123,TripAdvisor
32,Asadero Don Pedro,Manta,2024-12-14,1,Muy bueno,"No lo recomiendo para nada, muy mala experiencia.",PedroFan,Google Reviews
33,Restaurante El Sabor,Loja,2024-03-29,5,Excelente,El mejor restaurante al que he ido en mucho tiempo.,MariaGourmet,Google Reviews
34,Vegan Life,Ambato,2024-06-24,2,Excelente,La relación calidad-precio no es buena.,PedroFan,Google Reviews
35,Asadero Don Pedro,Esmeraldas,2025-01-13,5,Excelente,El mejor restaurante al que he ido en mucho tiempo.,AndresCoffeeLover,TripAdvisor
36,Comida Típica Quiteña,Esmeraldas,2025-01-11,4,Pésima experiencia,Buen ambiente y platos de calidad.,MariaGourmet,TripAdvisor
37,Mariscos del Pacífico,Guayaquil,2024-06-15,1,No me gustó,"Pésima experiencia, no volveré jamás.",CarlaSeafoodFan,Yelp
38,Restaurante El Sabor,Ibarra,2024-08-20,3,Pésima experiencia,"Servicio promedio, esperaba algo más.",FoodieEcuador,Google Reviews
